"","tr","variable","value"
"1","wgp","nvm",0.167
"2","wgp","nvm",0.186
"3","wgp","nvm",0.203
"4","wgp","nvm",0.154
"5","wgp","nvm",0.186
"6","wgp","nvm",0.176
"7","wgp","nvm",0.179
"8","wgp","nvm",0.186
"9","wgp","nvm",0.148
"10","wgp","nvm",0.165
"11","wgp","nvm",0.17
"12","wgp","nvm",0.173
"13","wgp","nvm",0.21
"14","wgp","nvm",0.168
"15","wgp","nvm",0.179
"16","wgp","nvm",0.163
"17","wgp","nvm",0.18
"18","wgp","nvm",0.176
"19","wgp","nvm",0.153
"20","wgp","nvm",0.173
"21","wgp","nvm",0.202
"22","wgp","nvm",0.171
"23","wgp","nvm",0.214
"24","wgp","nvm",0.167
"25","wgp","nvm",0.197
"26","wgp","nvm",0.168
"27","wgp","nvm",0.162
"28","wgp","nvm",0.148
"29","wgp","nvm",0.161
"30","wgp","nvm",0.175
"31","sgp","nvm",0.068
"32","sgp","nvm",0.076
"33","sgp","nvm",0.075
"34","sgp","nvm",0.062
"35","sgp","nvm",0.065
"36","sgp","nvm",0.065
"37","sgp","nvm",0.074
"38","sgp","nvm",0.067
"39","sgp","nvm",0.069
"40","sgp","nvm",0.069
"41","sgp","nvm",0.058
"42","sgp","nvm",0.064
"43","sgp","nvm",0.066
"44","sgp","nvm",0.078
"45","sgp","nvm",0.073
"46","sgp","nvm",0.065
"47","sgp","nvm",0.07
"48","sgp","nvm",0.072
"49","sgp","nvm",0.077
"50","sgp","nvm",0.077
"51","sgp","nvm",0.069
"52","sgp","nvm",0.072
"53","sgp","nvm",0.077
"54","sgp","nvm",0.076
"55","sgp","nvm",0.075
"56","sgp","nvm",0.073
"57","sgp","nvm",0.06
"58","sgp","nvm",0.069
"59","sgp","nvm",0.065
"60","sgp","nvm",0.067
"61","wgp","ncm",38.6
"62","wgp","ncm",42.1
"63","wgp","ncm",40.1
"64","wgp","ncm",41.2
"65","wgp","ncm",41.5
"66","wgp","ncm",41.3
"67","wgp","ncm",42.1
"68","wgp","ncm",40.2
"69","wgp","ncm",41.6
"70","wgp","ncm",40.5
"71","wgp","ncm",41.4
"72","wgp","ncm",42.3
"73","wgp","ncm",43
"74","wgp","ncm",40.9
"75","wgp","ncm",42.8
"76","wgp","ncm",43
"77","wgp","ncm",41.4
