tr,nvm,ncm,nvf,ncf,vrf,vrm,agb,nsc,pn,pr,fn,cn
0% lar,0.185,40.3,0.224,43.7,11.96666667,11.88333333,1.109,2.893,11643.06667,5514.7,12.8,13.7
0% lar,0.119,41.7,0.147,43,5.05,10.78333333,0.816,1.8357,11571,5386.8,13.6,13.6
0% lar,0.1052,39.4,0.188,43.6,8.083333333,2.933333333,0.815,1.7814,12958.73333,4660.2,17.1,18
0% lar,0.205,40.5,0.214,40.5,12.56666667,11.38333333,1.203,2.99372,13573,5261.3,17.5,17.3
0% lar,0.173,41.6,0.243,39.5,16.61666667,7.683333333,1.229,2.843,12692.46667,4974.9,15.8,18.1
0% lar,0.174,43.7,0.218,39.5,8.416666667,9.833333333,1.124,2.448,10772.33333,5659.1,15.7,14.9
0% lar,0.157,41,0.212,42.5,13.38,5.616666667,0.927,2.624,13148.13333,5587,16.9,15.5
0% lar,0.156,44.5,0.17,40.8,7.15,6.55,1.019,2.05783,10600.73333,4700.5,13.2,15.3
0% lar,0.171,43.3,0.136,41.7,9.283333333,9.9,0.991,2.17581,12024.46667,5667.7,12.8,16
0% lar,0.155,40.8,0.155,40.2,8.65,10.76666667,1.108,2.3602,9663.933333,5603.6,13.4,17.5
0% lar,0.183,42.5,0.16,43.9,10.08333333,11.55,1.204,2.69174,9526,6372.5,13.8,18.4
0% lar,0.161,39.1,0.184,42.6,12.48333333,8.466666667,1.07,2.59857,12468.66667,5471.2,14.2,19.2
30% lar,0.073,40.5,0.207,42.7,11.72,1.35,1.106,1.829,13091.4,2393.3,18.1,14.3
30% lar,0.043,42.2,0.188,39.6,10.73666667,0.7,1.151,1.91456,10992.8,1960.7,19.2,16.8
30% lar,0.061,38.7,0.181,42.3,12.57,1.55,1.271,1.523,12189.1,2371.4,17.1,13.6
30% lar,0.082,41.5,0.171,40.2,11.10333333,1.75,1.224,1.52785,10010.5,2212,16.4,17.7
30% lar,0.091,41,0.17,43.4,8.136666667,1.95,1.138,1.7632,11947.6,2295.7,17.1,16.9
30% lar,0.091,39.7,0.176,42.9,10.93666667,1.516666667,1.304,1.81,11505.6,2394.5,14.2,16
30% lar,0.082,43.4,0.188,42.7,13.22,2.016666667,1.069,1.753,11205.7,2350.8,13.8,17.2
30% lar,0.073,40.8,0.204,41.6,13.40333333,1.3,1.284,1.942,10184.9,2410.1,13.1,20.5
30% lar,0.095,41.6,0.195,37.5,11.37,2.1,1.337,1.864,12209.3,2501.6,12.9,19.3
30% lar,0.084,42.3,0.163,40.5,6.32,1.466666667,1.257,1.775,10105.5,2382.8,18.8,15.8
30% lar,0.083,40.5,0.188,40.5,12.80333333,1.566666667,1.203,1.544,11388.66667,2524.5,16.5,14.5
30% lar,0.054,40.5,0.174,42.4,10.18666667,1.083333333,1.056,1.569,11505.33333,2189.2,17.9,16.5
30% lar,0.065,43.6,0.177,43.1,10.00333333,1.55,1.191,1.44,11679.33333,2192.7,15,18.1
