tr,site,plot,sw,sn,sp,sk,nvm,ncm,nvf,ncf,cn,fn,sdn,vrf,vrm,agb,nsc,ssr,pn,pr,log(pn),log(pr)
2,1,5,64.5,6.62,1.62,11.43,0.065,40.9,0.169,42.5,20.9,11.2,7.5,9.3,1.6,1.515,1.323,0.65,11618.26667,2795.7,4.06514134,3.446490566
2,1,6,72.5,3.92,1.23,11.85,0.065,40.7,0.166,41.9,12.9,14.7,9.6,8.3,1.6,1.184,0.948,0.64,11505.6,2894.5,4.060909271,3.461573554
2,1,7,75.2,8.16,1.36,10.68,0.074,41.3,0.165,41.8,21.2,16.4,11.3,6.8,1.4,1.023,1.055,0.67,12074.26667,2850.8,4.081860763,3.45496675
2,1,8,63.3,7.44,1.27,12.19,0.067,42.3,0.17,43.3,16.9,11.2,7.9,10.3,1.5,1.392,1.194,0.68,11822.06667,2910.1,4.072693404,3.463907913
2,1,9,69.2,5.03,1.44,11.58,0.069,40.3,0.165,42.1,16.9,14.9,11,9.8,1.7,1.567,1.164,0.72,11612.8,3001.6,4.064936947,3.477352817
2,1,10,77.1,5.76,1.38,11.02,0.069,41.6,0.166,41.4,19.6,14.2,9.8,8.7,1.6,1.385,0.938,0.67,11929.33333,2882.8,4.076616174,3.459814513
2,2,1,79.2,8.28,1.49,12.21,0.058,41.8,0.162,42.9,15.2,14.2,10.4,10.8,1,1.174,1.215,0.71,11388.66667,2550.3,4.056472882,3.406591271
2,2,2,56.5,6.03,1.59,13.68,0.064,41.3,0.17,42.4,16.6,13.4,9.9,10.7,1.1,1.442,1.329,0.72,11505.33333,2460.7,4.060899205,3.391058669
2,2,3,64.5,3.76,1.62,12.1,0.066,41.4,0.165,42.8,21.6,15.4,10.9,9.5,1.7,1.098,1.344,0.69,11679.33333,2692.7,4.067418053,3.43018797
2,2,4,74.5,4.76,1.23,10.09,0.078,40.6,0.195,42.3,18.6,11.8,9.1,11.9,1.6,1.602,1.528,0.75,12666.66667,2765.4,4.102662342,3.441757959
2,2,5,55.5,8.29,1.31,11.24,0.073,40.9,0.178,42.2,12.6,14.8,11.2,11.5,1.5,1.388,1.479,0.73,11830,2769.1,4.072984745,3.44233864
2,2,6,68.3,7.29,1.22,11.5,0.065,42.3,0.178,42.2,14.2,11.7,8.7,8.6,1.5,1.267,1.505,0.72,11568,2909.4,4.06325828,3.463803434
2,2,7,73.1,7.42,1.3,10.58,0.07,42.7,0.172,42.2,16.6,15.3,10.1,8.1,1.4,1.192,1.424,0.64,11699.33333,3024.5,4.068161115,3.480653589
