"","tr","variable","value"
"201","0% lar","ncf",43.6
"202","0% lar","ncf",40.5
"203","0% lar","ncf",39.5
"204","0% lar","ncf",39.5
"205","0% lar","ncf",42.5
"206","0% lar","ncf",40.8
"207","0% lar","ncf",41.7
"208","0% lar","ncf",40.2
"209","0% lar","ncf",43.9
"210","0% lar","ncf",42.6
"211","30% lar","ncf",42.7
"212","30% lar","ncf",39.6
"213","30% lar","ncf",42.3
"214","30% lar","ncf",40.2
"215","30% lar","ncf",43.4
"216","30% lar","ncf",42.9
"217","30% lar","ncf",42.7
"218","30% lar","ncf",41.6
"219","30% lar","ncf",37.5
"220","30% lar","ncf",40.5
"221","30% lar","ncf",40.5
"222","30% lar","ncf",42.4
"223","30% lar","ncf",43.1
"224","30% lar","ncf",44.3
"225","30% lar","ncf",38.2
"226","30% lar","ncf",40.6
"227","30% lar","ncf",41.5
"228","30% lar","ncf",40.5
"229","30% lar","ncf",42.9
"230","30% lar","ncf",37.5
"231","30% lar","ncf",41
"232","30% lar","ncf",40.8
"233","30% lar","ncf",39.3
"234","30% lar","ncf",43.8
"235","30% lar","ncf",40.1
"236","30% lar","ncf",38
"237","30% lar","ncf",43
"238","30% lar","ncf",42.4
"239","30% lar","ncf",41.1
"240","30% lar","ncf",41.6
"241","0% lar","vrf",10.21666667
"242","0% lar","vrf",8.366666667
"243","0% lar","vrf",8.066666667
"244","0% lar","vrf",5.066666667
"245","0% lar","vrf",9.866666667
"246","0% lar","vrf",9.266666667
"247","0% lar","vrf",14.01666667
"248","0% lar","vrf",9.566666667
"249","0% lar","vrf",8.516666667
"250","0% lar","vrf",13.23333333
"251","0% lar","vrf",14.53333333
"252","0% lar","vrf",15.33333333
"253","0% lar","vrf",13.1
"254","0% lar","vrf",14.21666667
"255","0% lar","vrf",15.81666667
"256","0% lar","vrf",12.08333333
"257","0% lar","vrf",11.38333333
"258","0% lar","vrf",9.866666667
"259","0% lar","vrf",11.96666667
"260","0% lar","vrf",5.05
"261","0% lar","vrf",8.083333333
"262","0% lar","vrf",12.56666667
"263","0% lar","vrf",16.61666667
"264","0% lar","vrf",8.416666667
"265","0% lar","vrf",13.38
"266","0% lar","vrf",7.15
"267","0% lar","vrf",9.283333333
"268","0% lar","vrf",8.65
"269","0% lar","vrf",10.08333333
"270","0% lar","vrf",12.48333333
"271","30% lar","vrf",11.72
"272","30% lar","vrf",10.73666667
"273","30% lar","vrf",12.57
"274","30% lar","vrf",11.10333333
"275","30% lar","vrf",8.136666667
"276","30% lar","vrf",10.93666667
"277","30% lar","vrf",13.22
"278","30% lar","vrf",13.40333333
"279","30% lar","vrf",11.37
"280","30% lar","vrf",6.32
"281","30% lar","vrf",12.80333333
"282","30% lar","vrf",10.18666667
"283","30% lar","vrf",10.00333333
"284","30% lar","vrf",14.22
"285","30% lar","vrf",10.65333333
"286","30% lar","vrf",11.68666667
"287","30% lar","vrf",8.70333333
"288","30% lar","vrf",10.63666667
"289","30% lar","vrf",14.18666667
"290","30% lar","vrf",11.22
"291","30% lar","vrf",7.07
"292","30% lar","vrf",9.936666667
"293","30% lar","vrf",12.03666667
"294","30% lar","vrf",10.07
"295","30% lar","vrf",11.10333333
"296","30% lar","vrf",15.00333333
"297","30% lar","vrf",10.67
"298","30% lar","vrf",10.43666667
"299","30% lar","vrf",9.07
"300","30% lar","vrf",13.55333333
"301","0% lar","vrm",6.866666667
"302","0% lar","vrm",7.25
"303","0% lar","vrm",5.166666667
"304","0% lar","vrm",7.733333333
"305","0% lar","vrm",13
"306","0% lar","vrm",8.533333333
"307","0% lar","vrm",7.916666667
"308","0% lar","vrm",4.816666667
"309","0% lar","vrm",6.983333333
"310","0% lar","vrm",8.933333333
"311","0% lar","vrm",10.91666667
"312","0% lar","vrm",13.25
"313","0% lar","vrm",11.08333333
"314","0% lar","vrm",13.55
"315","0% lar","vrm",11.73333333
"316","0% lar","vrm",10.55
"317","0% lar","vrm",9.983333333
"318","0% lar","vrm",13.36666667
"319","0% lar","vrm",11.88333333
"320","0% lar","vrm",10.78333333
"321","0% lar","vrm",2.933333333
"322","0% lar","vrm",11.38333333
"323","0% lar","vrm",7.683333333
"324","0% lar","vrm",9.833333333
"325","0% lar","vrm",5.616666667
"326","0% lar","vrm",6.55
"327","0% lar","vrm",9.9
"328","0% lar","vrm",10.76666667
"329","0% lar","vrm",11.55
"330","0% lar","vrm",8.466666667
"331","30% lar","vrm",1.35
"332","30% lar","vrm",0.7
"333","30% lar","vrm",1.55
"334","30% lar","vrm",1.75
"335","30% lar","vrm",1.95
"336","30% lar","vrm",1.516666667
"337","30% lar","vrm",2.016666667
"338","30% lar","vrm",1.3
"339","30% lar","vrm",2.1
"340","30% lar","vrm",1.466666667
"341","30% lar","vrm",1.566666667
"342","30% lar","vrm",1.083333333
"343","30% lar","vrm",1.55
"344","30% lar","vrm",1.7
"345","30% lar","vrm",1.466666667
"346","30% lar","vrm",1.716666667
"347","30% lar","vrm",0.983333333
"348","30% lar","vrm",1.95
"349","30% lar","vrm",1.516666667
"350","30% lar","vrm",1.35
"351","30% lar","vrm",1.25
"352","30% lar","vrm",1.866666667
"353","30% lar","vrm",1.366666667
"354","30% lar","vrm",1.283333333
"355","30% lar","vrm",1.716666667
"356","30% lar","vrm",2.2
"357","30% lar","vrm",1.616666667
"358","30% lar","vrm",1.416666667
"359","30% lar","vrm",2.116666667
"360","30% lar","vrm",1.733333333
"361","0% lar","agb",0.832
"362","0% lar","agb",1.045
"363","0% lar","agb",0.983
"364","0% lar","agb",0.845
"365","0% lar","agb",1.024
"366","0% lar","agb",1.006
"367","0% lar","agb",1.17
"368","0% lar","agb",0.897
"369","0% lar","agb",0.988
"370","0% lar","agb",1.021
"371","0% lar","agb",1.212
"372","0% lar","agb",0.999
"373","0% lar","agb",0.909
"374","0% lar","agb",0.946
"375","0% lar","agb",1.233
"376","0% lar","agb",0.808
"377","0% lar","agb",0.988
"378","0% lar","agb",1.184
"379","0% lar","agb",1.109
"380","0% lar","agb",0.816
"381","0% lar","agb",0.815
"382","0% lar","agb",1.203
